dataset	Ensembl_ID	Gene_symbol	histology_group	stage	mean_expr	sd_expr	n_samples
GSE130970	ENSG00000102974	CTCF	F3	3	9.58479893043759	0.116254064964619	14
GSE130970	ENSG00000102974	CTCF	F4	4	9.72438627211343	0.132611440469104	2
GSE130970	ENSG00000168036	CTNNB1	F0	0	12.5999893636564	0.110977040336211	18
GSE130970	ENSG00000168036	CTNNB1	F1	1	12.6063987752334	0.0998525606509313	28
GSE130970	ENSG00000168036	CTNNB1	F2	2	12.6671784568219	0.0826197483598825	9
GSE130970	ENSG00000168036	CTNNB1	F3	3	12.6054902184357	0.11012532846471	14
GSE130970	ENSG00000168036	CTNNB1	F4	4	12.7019135167158	0.0235389146634551	2
GSE130970	ENSG00000130816	DNMT1	F0	0	9.05740925633731	0.173718695819063	18
GSE130970	ENSG00000130816	DNMT1	F1	1	9.15647042203282	0.206348751829096	28
GSE130970	ENSG00000130816	DNMT1	F2	2	9.21382900258623	0.33251168165526	9
GSE130970	ENSG00000130816	DNMT1	F3	3	9.08805150395496	0.261212596005015	14
GSE130970	ENSG00000130816	DNMT1	F4	4	9.43657454222009	0.0508289903468737	2
GSE130970	ENSG00000119772	DNMT3A	F0	0	8.16560939012224	0.288597253811046	18
GSE130970	ENSG00000119772	DNMT3A	F1	1	8.04801473470927	0.283332326022122	28
GSE130970	ENSG00000119772	DNMT3A	F2	2	8.1514942716013	0.185857768620102	9
GSE130970	ENSG00000119772	DNMT3A	F3	3	8.01761615866292	0.327148663979004	14
GSE130970	ENSG00000119772	DNMT3A	F4	4	8.0967245679377	0.257051884550988	2
GSE130970	ENSG00000088305	DNMT3B	F0	0	6.0988238350344	0.408837730886988	18
GSE130970	ENSG00000088305	DNMT3B	F1	1	6.09808004884112	0.336573476786858	28
GSE130970	ENSG00000088305	DNMT3B	F2	2	5.9358595946323	0.222899413776568	9
GSE130970	ENSG00000088305	DNMT3B	F3	3	5.98584542289233	0.325009074320408	14
GSE130970	ENSG00000088305	DNMT3B	F4	4	5.73091252683004	0.211282460104941	2
GSE130970	ENSG00000197102	DYNC1H1	F0	0	12.6834268183597	0.140396653502952	18
GSE130970	ENSG00000197102	DYNC1H1	F1	1	12.805636719035	0.131761447225697	28
GSE130970	ENSG00000197102	DYNC1H1	F2	2	12.693703905761	0.167401763325973	9
GSE130970	ENSG00000197102	DYNC1H1	F3	3	12.6416356629492	0.181554746970578	14
GSE130970	ENSG00000197102	DYNC1H1	F4	4	12.7514822830603	0.0071968179832208	2
GSE130970	ENSG00000074266	EED	F0	0	8.48827115531582	0.198395441507304	18
GSE130970	ENSG00000074266	EED	F1	1	8.46415967909587	0.111033771446165	28
GSE130970	ENSG00000074266	EED	F2	2	8.60685154734998	0.145157429090021	9
GSE130970	ENSG00000074266	EED	F3	3	8.44730589769474	0.228704725491843	14
GSE130970	ENSG00000074266	EED	F4	4	8.65640712925718	0.00142029758921969	2
GSE130970	ENSG00000181090	EHMT1	F0	0	10.1456138499698	0.236755084643595	18
GSE130970	ENSG00000181090	EHMT1	F1	1	10.2084342184447	0.193040177782305	28
GSE130970	ENSG00000181090	EHMT1	F2	2	10.1648166132453	0.153314552839618	9
