Ensembl_ID	baseMean	stat_lrt	pvalue_lrt	padj_lrt	Gene_symbol
ENSG00000000003	2173.0538866561924	4.609310656372145	0.32978209912115286	0.41942530059051764	TSPAN6
ENSG00000000005	5.720027155054279	7.191319263387413	0.12611673509156393	0.19685290858430116	TNMD
ENSG00000000419	479.5623704989386	5.713968072645912	0.2215518799365663	0.30679627772822193	DPM1
ENSG00000000457	508.5407868490537	8.86384430587077	0.06459430086566156	0.11541534226781998	SCYL3
ENSG00000000460	170.46546931177411	14.248724902707181	0.0065421122363240524	0.017772719907525034	FIRRM
ENSG00000000938	130.87313487365412	13.881254352193537	0.00768384724015177	0.020324203669268497	FGR
ENSG00000000971	60342.47662588358	4.741323074593311	0.3148835124397447	0.4045533222247726	CFH
ENSG00000001036	903.4877958724163	34.582479243325	5.659175811824558e-7	4.776888422980018e-6	FUCA2
ENSG00000001084	2981.3265968353	20.901604562927787	3.3121511955388534e-4	0.0013935186123730655	GCLC
ENSG00000001167	411.1122159188843	5.902348189662916	0.2065606260835644	0.2903169617230158	NFYA
ENSG00000001460	89.0428404934038	10.995952427739667	0.02660954116325428	0.05610855482035188	STPG1
ENSG00000001461	278.680871019424	2.123274407009376	0.7130977455905785	0.7608008438064707	NIPAL3
ENSG00000001497	448.59096888092006	19.74662807241475	5.603200036209243e-4	0.002196498504511504	LAS1L
ENSG00000001561	286.4309338184944	7.352707100737462	0.1183824374310018	0.18725047296869168	ENPP4
ENSG00000001617	96.10046145288096	4.999491994054097	0.28734962373991074	0.3760262855290781	SEMA3F
ENSG00000001626	239.98045439009204	89.9319508574954	1.3613239288948608e-18	5.849348243411003e-17	CFTR
ENSG00000001629	661.0920272463485	4.780240268519265	0.3105983204682974	0.4002573554666836	ANKIB1
ENSG00000001630	2742.3605336894393	2.9861689042700164	0.5601426629322558	0.6316069836916195	CYP51A1
ENSG00000001631	682.0316131561589	21.831664838790857	2.164903794698078e-4	9.630849337539432e-4	KRIT1
ENSG00000002016	202.69167084977835	0.4282073357016998	0.9801030250485026	0.9831456893507765	RAD52
ENSG00000002079	8.811140843722079	12.622352361232515	0.013276336757284766	0.03190428330368774	MYH16
ENSG00000002330	290.74764595370533	9.265427827226631	0.054796851417638084	0.10096919839226287	BAD
ENSG00000002549	2872.965905243084	6.455885283744465	0.1675912767681129	0.24639227113164364	LAP3
ENSG00000002586	1787.295386382009	15.520302179915234	0.003735259677249976	0.011072817494614792	CD99
ENSG00000002587	28.233561403004966	42.082992890127116	1.603375633352859e-8	1.846107882912652e-7	HS3ST1
ENSG00000002726	163.06526051203608	8.126917827997204	0.08703812095573003	0.14667652885790908	AOC1
ENSG00000002745	3.0382276867592832	11.519090738720479	0.02130976768500446	0.046904714811843606	WNT16
ENSG00000002746	27.44368237353609	19.945241355606413	5.119838189289641e-4	0.0020263622191612797	HECW1
ENSG00000002822	203.57095966012668	18.02086155334291	0.0012225662453747598	0.00426420126517155	MAD1L1
ENSG00000002834	2347.1125049013767	27.474380203970213	1.593781669478329e-5	9.554410631573983e-5	LASP1
ENSG00000002919	272.4626669762946	13.927926498265151	0.007528673026760908	0.019986522629922274	SNX11
ENSG00000002933	8779.260732843115	11.037584708033137	0.02614484559675992	0.05531641244909027	TMEM176A
ENSG00000003056	1134.9113458288653	9.208138554917241	0.056102422424373515	0.10290539699002935	M6PR
ENSG00000003096	132.35792548623792	11.387811600158784	0.022534489659206916	0.04906566239004676	KLHL13
ENSG00000003137	21.8124303763342	6.885827643257471	0.14204613293762805	0.2164180803225499	CYP26B1
ENSG00000003147	226.17656634730403	2.419435820371291	0.6591177733130957	0.7164876545908477	ICA1
ENSG00000003249	68.19633070141523	107.81993528405383	2.122509883737711e-22	1.3239872463963885e-20	DBNDD1
ENSG00000003393	1279.504830666334	23.86296722449606	8.508849850796563e-5	4.2389447483647636e-4	ALS2
