Ensembl_ID	Gene_symbol	baseMean	padj_lrt	sig_lrt	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000102802	MEDAG	14.51107241411877	4.312356335341108e-4	TRUE	1	down	2	F2_vs_F0	3	up	F3_vs_F2,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000165874	SHLD2P1	206.63836062403965	4.312356335341108e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000137285	TUBB2B	25.03298150329924	4.427458088655689e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000182645	CCDC172	6.009678483928375	4.4318106261974875e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000107518	ATRNL1	164.49402138815262	4.458649130123073e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000134020	PEBP4	14.280184529736434	4.4685696144303985e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F2	baseline_and_strata
ENSG00000145888	GLRA1	7.736650835775778	4.513213230131663e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000186452	TMPRSS12	11.72307982084009	4.524071945242088e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000260230	FRRS1L	65.2996594790491	4.524071945242088e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F2	baseline_and_strata
ENSG00000134489	HRH4	20.51821804107141	4.5246643593078745e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000101187	SLCO4A1	8.29509202892296	4.5290998923283745e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F3	baseline_and_strata
ENSG00000233436	BTBD18	23.054444148031866	4.6835483227097234e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000164418	GRIK2	27.420982967183512	4.734585779369428e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000180878	C11orf42	8.725835650220649	4.7730911099168636e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000189409	MMP23B	3.4039205670986976	4.798718918255486e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000152953	STK32B	6.715143478874686	5.042390191124678e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000105989	WNT2	44.31771323617483	5.098768158253341e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000088826	SMOX	67.35618535789791	5.227862261519727e-4	TRUE	1	up	4	F4_vs_F0	3	up	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000160808	MYL3	11.147976000832092	5.267651932255194e-4	TRUE	1	up	3	F3_vs_F0	1	up	F3_vs_F1	baseline_and_strata
ENSG00000143194	MAEL	10.193325633754212	5.322961329435153e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000157851	DPYSL5	14.54656831023383	5.325464569177181e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000134917	ADAMTS8	5.34887303903594	5.390363875003327e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
