Ensembl_ID	Gene_symbol	contrast	type	dir	baseMean	log2FC	lfcSE	padj	n_ds_tested	n_ds_same_dir
ENSG00000153531	ADPRHL1	F1_vs_F0	baseline	down	31.069134091807527	-0.7953481895581296	0.1274279244533869	1.7498830056842563e-6	3	3
ENSG00000164309	CMYA5	F1_vs_F0	baseline	down	425.77261704915276	-0.8101301332934477	0.1358218652824888	6.601240977258113e-6	3	3
ENSG00000165912	PACSIN3	F1_vs_F0	baseline	down	344.87497402680435	-0.6060680397781127	0.10718768936538342	2.662701272847121e-5	3	3
ENSG00000036448	MYOM2	F1_vs_F0	baseline	down	128.28574183355212	-0.6927983387750991	0.12715387782193163	5.47100467064595e-5	3	3
ENSG00000170323	FABP4	F1_vs_F0	baseline	up	122.74557961003397	1.0286734031758902	0.19691773838262416	1.4154132155674777e-4	3	3
ENSG00000184545	DUSP8	F1_vs_F0	baseline	up	39.64045139609991	0.9076236999115143	0.17741640117321236	2.2944686625594546e-4	3	3
ENSG00000095970	TREM2	F1_vs_F0	baseline	up	33.90114125719948	0.8796954015370994	0.1748251332665473	3.0867595700751475e-4	3	3
ENSG00000106541	AGR2	F1_vs_F0	baseline	down	11.667072281648927	-2.686654655199142	0.5342461121732375	3.0867595700751475e-4	3	3
ENSG00000163126	ANKRD23	F1_vs_F0	baseline	down	34.556043385158546	-0.808650890508175	0.1646472919607851	5.037457126382494e-4	3	3
ENSG00000139445	FOXN4	F1_vs_F0	baseline	up	28.06589388814727	1.1997431804526144	0.2468387429359499	6.102968923784902e-4	3	3
ENSG00000221890	NPTXR	F1_vs_F0	baseline	up	82.26480679737143	1.15618838926651	0.23922374632687923	6.581574039283456e-4	3	3
ENSG00000142623	PADI1	F1_vs_F0	baseline	up	57.88928164537392	1.8274604694407868	0.379343110191602	6.909827492496881e-4	3	3
ENSG00000164687	FABP5	F1_vs_F0	baseline	up	56.44551514897675	0.6118525186532144	0.12860224585978822	8.111101100702323e-4	3	3
ENSG00000010932	FMO1	F1_vs_F0	baseline	up	97.62205162824937	0.7896910578864128	0.1741696820821392	0.002157637048145552	3	3
ENSG00000269113	TRABD2B	F1_vs_F0	baseline	down	159.8219896422911	-0.5880526068743017	0.12979015464505594	0.002157637048145552	3	3
ENSG00000198074	AKR1B10	F1_vs_F0	baseline	up	683.4013592426242	1.1363243736273807	0.25203425671312324	0.002291815909329289	3	3
ENSG00000102466	FGF14	F1_vs_F0	baseline	up	100.14673954179383	0.8380303880140654	0.1871317918008507	0.002568331722609068	3	3
ENSG00000103534	TMC5	F1_vs_F0	baseline	down	30.002170985489663	-1.2242144019707533	0.27682710806170074	0.0030339929869776733	3	3
ENSG00000170276	HSPB2	F1_vs_F0	baseline	down	3.428412660285188	-1.1539861313634503	0.26847756508882614	0.0041809251795664176	2	2
ENSG00000185271	KLHL33	F1_vs_F0	baseline	down	5.044790283552166	-0.7094881118137737	0.1646274777778689	0.0041809251795664176	2	2
ENSG00000115009	CCL20	F1_vs_F0	baseline	up	22.233446184592292	1.0099183778701972	0.2364941583794281	0.004503967736794156	3	3
ENSG00000214688	C10orf105	F1_vs_F0	baseline	down	8.049454159524789	-0.8096033397552916	0.19135685418586112	0.005152290797263118	3	3
ENSG00000203772	SPRN	F1_vs_F0	baseline	down	30.50113011015936	-0.8441656626070162	0.20515786855560156	0.006734483581215493	3	3
ENSG00000138755	CXCL9	F1_vs_F0	baseline	up	397.6435542651828	0.585042731463875	0.14357029435663057	0.007587205703951349	3	3
ENSG00000134028	ADAMDEC1	F1_vs_F0	baseline	up	6.034794381624156	0.952835653094164	0.2409842063385186	0.01139466604359765	3	3
